ชื่อโครงการ,รายได้ต่อปี,งบประมาณ,จุดคุ้มทุน,คสศ2 รายละเอียดการใช้เงิน รายการ,รายละเอียดการใช้เงิน  จำนวนเงินที่ใช้,รายละเอียดการใช้เงิน ระยะเวลา
โซล่าเซลล์ลดค่าใช้จ่าย ร้านค้าชุมชน ประปาหมู่บ้าน ส่วนกลางชุมชน,"37,530","  200,000.00 ",1.37,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 186,915.89  2. 186,915.89  3.13,084.11 4. 200,000.00",1. 180 วัน 
โซล่าเซลล์ลดค่าใช้จ่าย ร้านค้าชุมชน ประปาหมู่บ้าน ส่วนกลางชุมชน,"58,500","  300,000.00 ",1.8,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 280,373.83  2. 280,373.83  3. 19,626.13  4. 300,000.00",1. 180 วัน 
โซล่าเซลล์ลดค่าใช้จ่าย ร้านค้าชุมชน ประปาหมู่บ้าน ส่วนกลางชุมชน,"63,000","  400,000.00 ",6.34,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 373,831.78  2. 373,831.78  3. 26,168.22  4. 400,000.00",1. 180 วัน 
โซล่าร์เซลล์ชุมชน เพื่อประหยัดพลังงานด้วยพลังงานทดแทน,"37,530","  200,000.00 ",1.37,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 186,915.89  2. 186,915.89  3.13,084.11 4. 200,000.00",1. 180 วัน 
โซล่าร์เซลล์ชุมชน เพื่อประหยัดพลังงานด้วยพลังงานทดแทน,"58,500","  300,000.00 ",1.8,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 280,373.83  2. 280,373.83  3. 19,626.13  4. 300,000.00",1. 180 วัน 
โซล่าร์เซลล์ชุมชน เพื่อประหยัดพลังงานด้วยพลังงานทดแทน,"63,000","  400,000.00 ",6.34,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 373,831.78  2. 373,831.78  3. 26,168.22  4. 400,000.00",1. 180 วัน 
โซล่าร์เซลล์ เพื่อลดค่าใช้จ่าย และสร้างอาชีพเพิ่มทักษะให้ชุมชน,"37,530","  200,000.00 ",1.37,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 186,915.89  2. 186,915.89  3.13,084.11 4. 200,000.00",1. 180 วัน 
โซล่าร์เซลล์ เพื่อลดค่าใช้จ่าย และสร้างอาชีพเพิ่มทักษะให้ชุมชน,"58,500","  300,000.00 ",1.80,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 280,373.83  2. 280,373.83  3. 19,626.13  4. 300,000.00",1. 180 วัน 
โซล่าร์เซลล์ เพื่อลดค่าใช้จ่าย และสร้างอาชีพเพิ่มทักษะให้ชุมชน,"63,000","  400,000.00 ",6.34,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 373,831.78  2. 373,831.78  3. 26,168.22  4. 400,000.00",1. 180 วัน 
โซล่าร์เซลล์ พลังงานสะอาด เพื่อชุมชนยั่งยืน,"37,530","  200,000.00 ",1.37,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 186,915.89  2. 186,915.89  3.13,084.11 4. 200,000.00",1. 180 วัน 
โซล่าร์เซลล์ พลังงานสะอาด เพื่อชุมชนยั่งยืน,"58,500","  300,000.00 ",1.8,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 280,373.83  2. 280,373.83  3. 19,626.13  4. 300,000.00",1. 180 วัน 
โซล่าร์เซลล์ พลังงานสะอาด เพื่อชุมชนยั่งยืน,"63,000","  400,000.00 ",6.34,1.หมวดโครงสร้าง  2. รวม  3. Vat7%,"1. 373,831.78  2. 373,831.78  3. 26,168.22  4. 400,000.00",1. 180 วัน 